"state_fips","state_name","pop_2010","pop_2019","land_area","population_density_2010","population_density_2019","raw_change","percent_growth"
"48","Texas","25146091","28995881","676668210823","0.962093603113575051763800","1.112287698383938892405500","3849790","1219.28400652370989266300"
"12","Florida","18804564","21477737","138947364717","0.679451768534660643297300","0.773909511155161104827800","2673173","673.61350467669989756100"
"13","Georgia","9688729","10617423","149484604230","1.153402682291320329267900","1.263870158441590025691800","928694","432.87657214998736365300"
"08","Colorado","5029319","5758736","268419875371","0.356178564986048294222500","0.423272205687953526093700","729417","395.90214954977367873100"
"47","Tennessee","6346276","6829174","106805839178","0.497503108051869048884200","0.534126056461231046886000","482898","389.84101960578859297800"
"53","Washington","6724540","7614893","172117954267","0.168838113632870063835900","0.190741358087203796267300","890353","351.23159223847812384800"
"37","North Carolina","9535751","10488084","125925929633","0.710016364715215653512800","0.776339822540554365017900","952333","331.42695336944406874800"
"49","Utah","2763891","3205958","213355135666","0.102992749915672507217900","0.118205884539205647496800","442067","303.30029247846406081100"
"38","North Dakota","672576","762062","178695635183","0.017076489505778170968900","0.018887349992429408626300","89486","292.82967699955087042100"
"51","Virginia","8001049","8535519","102258306285","3.978344390777685752044100","4.302923723442422444241700","534470","269.22085248054529294600"
"16","Idaho","1567657","1787065","214049897859","0.058313500788610988906200","0.066996996278573214812400","219408","249.48975201068308749100"
"41","Oregon","3831079","4217737","248607777514","0.147186826282825581228300","0.162893848374813582491600","386658","220.15929826282634219900"
"06","California","37254519","39512223","403660088482","0.850201750758561147064100","0.911183078431787818629700","2257704","183.48602285304621704800"
"45","South Carolina","4625366","5148714","77864659170","0.234423710342538551742400","0.257139858159444551704900","523348","152.27659925864061534100"
"46","South Dakota","814198","884659","196346195316","0.035132308545681972054100","0.038247840660038489012100","70461","118.36169251536585817900"
"30","Montana","989407","1068778","376966832749","0.015703299062270782468300","0.016810399258206448642100","79371","117.21158691429006597400"
"04","Arizona","6392288","7278717","294360282618","0.030069927556554680550200","0.034062699064871544569900","886429","99.14507373638869581200"
